alpha,N_species,w,leading_eigenvalue,extinction_counter,attempt_counter
-1.875000,10.000000,0.150000,-0.603527,0.000000,1.000000
-1.875000,10.000000,0.350000,-0.537667,0.000000,1.000000
-1.875000,10.000000,0.600000,-0.447866,0.000000,1.000000
-1.875000,10.000000,0.550000,-0.465816,0.000000,1.000000
-1.875000,10.000000,0.450000,-0.502916,0.000000,1.000000
-1.875000,10.000000,0.250000,-0.572039,0.000000,1.000000
-1.875000,10.000000,0.400000,-0.521069,0.000000,1.000000
-1.875000,10.000000,0.500000,-0.484274,0.000000,1.000000
-1.875000,10.000000,0.650000,-0.430561,0.000000,1.000000
-1.875000,10.000000,0.750000,-0.398029,0.000000,1.000000
-1.875000,10.000000,0.700000,-0.413947,0.000000,1.000000
-1.875000,10.000000,0.850000,-0.368221,0.000000,1.000000
-1.875000,10.000000,0.900000,-0.377995,0.000000,1.000000
-1.875000,10.000000,0.950000,-0.340943,0.000000,1.000000
-1.875000,10.000000,1.000000,-0.328181,0.000000,1.000000
-2.125000,100.000000,0.050000,-1.313500,0.000000,1.000000
-2.125000,100.000000,0.600000,-0.099322,0.000000,1.000000
-2.125000,100.000000,0.450000,-0.183305,0.000000,1.000000
-2.125000,100.000000,0.500000,-0.148329,0.000000,1.000000
-2.125000,100.000000,0.300000,-0.365185,0.000000,1.000000
-2.125000,100.000000,0.150000,-0.807037,0.000000,1.000000
-2.125000,100.000000,0.700000,-0.068384,0.000000,1.000000
-2.125000,100.000000,0.750000,-0.057326,0.000000,1.000000
-2.125000,100.000000,0.550000,-0.120942,0.000000,1.000000
-1.875000,25.000000,0.000000,-0.838830,0.000000,1.000000
-2.125000,100.000000,0.850000,-0.041140,0.000000,1.000000
-2.125000,100.000000,0.250000,-0.470312,0.000000,1.000000
-2.125000,100.000000,0.650000,-0.082133,0.000000,1.000000
-2.125000,100.000000,0.800000,-0.057244,0.000000,1.000000
-2.125000,100.000000,0.100000,-1.026768,0.000000,1.000000
-2.125000,100.000000,0.400000,-0.228411,0.000000,1.000000
-2.125000,100.000000,0.000000,-1.712359,0.000000,1.000000
-2.125000,100.000000,0.200000,-0.621826,0.000000,1.000000
-2.125000,100.000000,0.950000,-0.027658,0.000000,1.000000
-1.875000,10.000000,0.800000,-0.382795,0.000000,1.000000
-2.125000,100.000000,0.350000,-0.287269,0.000000,1.000000
-1.875000,25.000000,0.050000,-0.809041,0.000000,1.000000
-1.875000,25.000000,0.100000,-0.724726,0.000000,1.000000
-2.125000,100.000000,1.000000,-0.022851,0.000000,1.000000
-2.125000,100.000000,0.900000,-0.034022,0.000000,1.000000
-1.875000,25.000000,0.150000,-0.713448,0.000000,1.000000
-1.875000,25.000000,0.200000,-0.657877,0.000000,1.000000
-1.875000,25.000000,0.400000,-0.481932,0.000000,1.000000
-1.875000,25.000000,0.350000,-0.521043,0.000000,1.000000
-1.875000,25.000000,0.300000,-0.570943,0.000000,1.000000
-1.875000,25.000000,0.550000,-0.384312,0.000000,1.000000
-1.875000,25.000000,0.250000,-0.610160,0.000000,1.000000
-1.875000,25.000000,0.600000,-0.357692,0.000000,1.000000
-1.875000,25.000000,0.750000,-0.290399,0.000000,1.000000
-1.875000,25.000000,0.650000,-0.335361,0.000000,1.000000
-1.875000,25.000000,0.800000,-0.235107,0.000000,1.000000
-1.875000,25.000000,0.450000,-0.446271,0.000000,1.000000
-1.875000,25.000000,1.000000,-0.201467,0.000000,1.000000
-1.875000,25.000000,0.700000,-0.311839,0.000000,1.000000
-1.875000,25.000000,0.950000,-0.215886,0.000000,1.000000
-1.875000,25.000000,0.850000,-0.248536,0.000000,1.000000
-1.875000,25.000000,0.900000,-0.231529,0.000000,1.000000
-1.875000,50.000000,0.000000,-1.177015,0.000000,1.000000
-1.875000,25.000000,0.500000,-0.413811,0.000000,1.000000
-1.875000,50.000000,0.100000,-0.880067,0.000000,1.000000
-1.875000,50.000000,0.400000,-0.378515,0.000000,1.000000
-1.875000,50.000000,0.050000,-1.019783,0.000000,1.000000
-1.875000,50.000000,0.200000,-0.681240,0.000000,1.000000
-1.875000,50.000000,0.300000,-0.461058,0.000000,1.000000
-1.875000,50.000000,0.150000,-0.772019,0.000000,1.000000
-1.875000,50.000000,0.500000,-0.279545,0.000000,1.000000
-1.875000,50.000000,0.600000,-0.208365,0.000000,1.000000
-1.875000,50.000000,0.700000,-0.156366,0.000000,1.000000
-1.875000,50.000000,0.650000,-0.180358,0.000000,1.000000
-1.875000,50.000000,0.800000,-0.118149,0.000000,1.000000
-1.875000,50.000000,0.350000,-0.443164,0.000000,1.000000
-1.875000,50.000000,0.850000,-0.103034,0.000000,1.000000
-1.875000,50.000000,0.250000,-0.561546,0.000000,1.000000
-1.875000,50.000000,0.750000,-0.135792,0.000000,1.000000
-1.875000,50.000000,1.000000,-0.069770,0.000000,1.000000
-1.875000,50.000000,0.900000,-0.076929,0.000000,1.000000
-1.875000,50.000000,0.550000,-0.163492,0.000000,1.000000
-1.875000,50.000000,0.450000,-0.324804,0.000000,1.000000
-1.625000,10.000000,0.050000,-0.660594,0.000000,1.000000
-1.625000,10.000000,0.100000,-0.646775,0.000000,1.000000
-1.875000,50.000000,0.950000,-0.079104,0.000000,1.000000
