NoNoise,Noise_0.001,Noise_0.01,Noise_0.1
1.075444751643373387e+00,1.073201618730066809e+00,9.034646656626662553e-01,2.288746790032246403e-01
1.071422350471480822e+00,1.070011479474316962e+00,9.504081900037577579e-01,1.395333332978710428e-01
6.582551082512242413e-01,9.622684290765608495e+00,5.021349940634908249e-01,1.750906391808058515e+00
8.981006878733502896e-01,8.960324256799996334e-01,7.719310847968264833e-01,2.244579618620181627e-01
8.025598716034441082e-01,8.023926833491670241e-01,7.430172693389123229e-01,3.239289448288147355e+00
6.454735385045842211e-01,6.452331762898674272e-01,6.312324957922378355e-01,2.814424602743335613e-01
1.227641534893018527e+00,1.223933438111242555e+00,1.009475594235024865e+00,1.823342606087208495e-01
5.851987131271005893e-01,5.847583911916132138e-01,5.398377194971051285e-01,2.922457656103589763e+00
7.762946446029563852e-01,6.070483527069360230e-01,5.960305472761666667e-01,3.201607998262937516e-01
9.956521875657609044e-01,9.934598593472513395e-01,8.689895785670150863e-01,1.535809659066612876e-01
1.143408472315822877e+00,1.140712491190819300e+00,9.623191335300427252e-01,7.528487458079289318e-01
7.603819284984074667e-01,7.595607421214534138e-01,7.145536933543732427e-01,2.552768138300592904e-01
7.942497025156164403e-01,7.922739007354033802e-01,7.055022615950375942e-01,8.454714107847813853e-01
8.283512001663406732e-01,6.583787398282016090e-01,6.123464026699523721e+00,2.625960166961458508e-01
9.351339207265901843e-01,9.336978491052609908e-01,8.480352309286962598e-01,1.559476322293001371e-01
6.079999821697393836e-01,6.076330218059073918e-01,6.714732466276787104e-01,5.994154287664754666e-01
8.648578295630203749e-01,8.628493946946950155e-01,7.651473672396355008e-01,2.321617544602469219e-01
8.132401210499280442e-01,8.118215830326047655e-01,7.195511811247118361e-01,2.448717952136271414e+00
6.306651894517549817e-01,6.302503223480875327e-01,6.072159178621989728e-01,2.944656081937304104e-01
1.273232078778828491e+00,1.269788787564976040e+00,1.011956471989577278e+00,1.074300094802134592e-01
5.892208297604389911e-01,1.383999497056117534e+01,9.188596678240230631e-01,2.725997305060495757e-01
8.917688584343018698e-01,5.371335273920252007e+00,3.595326692056545426e+00,4.225042216676622719e-01
1.008270354602765373e+00,1.006278816794736519e+00,8.871153396172190009e-01,1.593956703821941545e-01
8.625315817123004880e-01,6.361476650328899751e+00,6.413012356324279128e-01,7.896051367911410823e-01
8.628381649237664153e-01,8.617686317572179622e-01,7.935079287292033934e-01,6.257180008011536954e-01
1.142126274112747586e+00,1.139733401760397058e+00,9.651668935123938198e-01,9.119028513376065126e-01
1.088485460786297709e+00,1.086642835439580734e+00,9.399797958564277689e-01,2.188467048608140342e-01
1.106135600189513291e+00,1.104802275476511442e+00,9.604379167965163555e-01,1.344410119929709269e-01
5.576675813021705341e-01,5.575089101122887580e-01,5.433770684586438637e-01,3.213900439099995676e+00
1.047597855491873897e+00,1.045285037876789502e+00,8.939669732264153845e-01,1.672425921269379834e-01
7.841494471967697111e-01,7.835215746847121743e-01,7.279936795255490534e-01,1.551010167696853514e-01
8.959258327358206042e-01,8.948805470610592394e-01,7.656514956478259748e-01,1.776452691580599152e+00
1.108784960808020248e+00,1.106879996135540889e+00,9.442867663300266168e-01,1.056004777152122764e-01
