alpha,N_species,w,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.875000,100.000000,0.700000,-0.304449,0.000000,1.000000
-1.625000,10.000000,0.450000,-0.576240,0.000000,1.000000
-1.625000,10.000000,0.600000,-0.572354,0.000000,1.000000
-1.875000,100.000000,0.050000,-0.489257,0.000000,1.000000
-1.875000,100.000000,0.450000,-0.376192,0.000000,1.000000
-1.625000,10.000000,0.950000,-0.562877,0.000000,1.000000
-1.875000,100.000000,0.550000,-0.347533,0.000000,1.000000
-1.625000,10.000000,0.850000,-0.565617,0.000000,1.000000
-1.625000,10.000000,0.800000,-0.566980,0.000000,1.000000
-1.625000,10.000000,1.000000,-0.561502,0.000000,1.000000
-1.875000,100.000000,0.850000,-0.260873,0.000000,1.000000
-1.875000,100.000000,0.200000,-0.446565,0.000000,1.000000
-1.625000,10.000000,0.700000,-0.569687,0.000000,1.000000
-1.625000,25.000000,0.150000,-0.574608,0.000000,1.000000
-1.875000,100.000000,0.650000,-0.318843,0.000000,1.000000
-1.625000,25.000000,0.000000,-0.583953,0.000000,1.000000
-1.875000,100.000000,0.150000,-0.460596,0.000000,1.000000
-1.625000,10.000000,0.500000,-0.574964,0.000000,1.000000
-1.875000,100.000000,0.600000,-0.333199,0.000000,1.000000
-1.875000,100.000000,0.800000,-0.275483,0.000000,1.000000
-1.875000,100.000000,1.000000,-0.212024,0.000000,1.000000
-1.625000,10.000000,0.900000,-0.564249,0.000000,1.000000
-1.625000,25.000000,0.050000,-0.584411,0.000000,1.000000
-1.625000,25.000000,0.100000,-0.573089,0.000000,1.000000
-1.625000,25.000000,0.200000,-0.571414,0.000000,1.000000
-1.625000,25.000000,0.300000,-0.564277,0.000000,1.000000
-1.625000,25.000000,0.250000,-0.566127,0.000000,1.000000
-1.625000,25.000000,0.450000,-0.554418,0.000000,1.000000
-1.625000,25.000000,0.500000,-0.550995,0.000000,1.000000
-1.625000,25.000000,0.350000,-0.556210,0.000000,1.000000
-1.625000,25.000000,0.400000,-0.557827,0.000000,1.000000
-1.625000,25.000000,0.700000,-0.537226,0.000000,1.000000
-1.625000,25.000000,0.550000,-0.547562,0.000000,1.000000
-1.625000,25.000000,0.650000,-0.540676,0.000000,1.000000
-1.625000,25.000000,0.750000,-0.533775,0.000000,1.000000
-1.625000,25.000000,0.900000,-0.513449,0.000000,1.000000
-1.625000,25.000000,0.850000,-0.526872,0.000000,1.000000
-1.625000,25.000000,0.600000,-0.544122,0.000000,1.000000
-1.625000,25.000000,1.000000,-0.524484,0.000000,1.000000
-1.625000,25.000000,0.800000,-0.530323,0.000000,1.000000
-1.625000,50.000000,0.000000,-0.581252,0.000000,1.000000
-1.625000,50.000000,0.050000,-0.576028,0.000000,1.000000
-1.625000,25.000000,0.950000,-0.527688,0.000000,1.000000
-1.625000,50.000000,0.100000,-0.562423,0.000000,1.000000
