alpha,N_species,mu,mean_leading_eigenvalue,extinction_counter, attempt_counter
-2.125000,100.000000,0.090000,-3.175859,0.000000,1.000000
-1.875000,100.000000,-0.030000,nan,0.000000,5.000000
-1.875000,100.000000,-0.020000,nan,0.000000,5.000000
-1.625000,10.000000,-0.090000,nan,0.000000,5.000000
-1.875000,25.000000,0.090000,-1.358444,0.000000,1.000000
-1.625000,10.000000,-0.070000,nan,0.000000,5.000000
-1.875000,25.000000,0.100000,-1.427282,0.000000,1.000000
-1.875000,50.000000,0.030000,-1.148503,0.000000,1.000000
-1.875000,50.000000,0.050000,-1.443631,0.000000,1.000000
-1.875000,50.000000,0.000000,-0.513851,0.000000,1.000000
-1.625000,10.000000,-0.100000,nan,0.000000,5.000000
-1.875000,100.000000,-0.010000,nan,0.000000,5.000000
-1.875000,100.000000,-0.040000,nan,0.000000,5.000000
-1.625000,10.000000,-0.080000,nan,0.000000,5.000000
-1.875000,50.000000,0.040000,-1.299843,0.000000,1.000000
-1.875000,50.000000,0.020000,-0.973207,0.000000,1.000000
-1.875000,50.000000,0.080000,-1.828763,0.000000,1.000000
-1.625000,10.000000,-0.060000,nan,0.000000,5.000000
-1.875000,50.000000,0.100000,-2.057743,0.000000,1.000000
-1.625000,10.000000,-0.050000,nan,0.000000,5.000000
-1.875000,50.000000,0.010000,-0.769981,0.000000,1.000000
-1.875000,50.000000,0.090000,-1.946503,0.000000,1.000000
-1.875000,50.000000,0.060000,-1.580565,0.000000,1.000000
-1.875000,50.000000,0.070000,-1.706321,0.000000,1.000000
-1.625000,25.000000,-0.060000,nan,0.000000,5.000000
-1.625000,25.000000,-0.070000,nan,0.000000,5.000000
-1.625000,25.000000,-0.100000,nan,0.000000,5.000000
-1.625000,25.000000,-0.040000,nan,0.000000,5.000000
-1.625000,25.000000,-0.050000,nan,0.000000,5.000000
-1.625000,25.000000,-0.080000,nan,0.000000,5.000000
-1.625000,25.000000,-0.030000,nan,0.000000,5.000000
-1.625000,25.000000,-0.090000,nan,0.000000,5.000000
-1.625000,25.000000,-0.020000,nan,0.000000,5.000000
-1.625000,50.000000,-0.080000,nan,0.000000,5.000000
-1.625000,50.000000,-0.050000,nan,0.000000,5.000000
-1.625000,50.000000,-0.060000,nan,0.000000,5.000000
