alpha,N_species,w,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.875000,10.000000,0.850000,-0.383960,0.000000,1.000000
-1.875000,10.000000,0.650000,-0.446031,0.000000,1.000000
-1.875000,10.000000,0.600000,-0.463413,0.000000,1.000000
-1.875000,25.000000,0.050000,-0.951873,0.000000,1.000000
-1.875000,10.000000,0.900000,-0.370087,0.000000,1.000000
-1.875000,10.000000,0.700000,-0.429441,0.000000,1.000000
-1.875000,25.000000,0.000000,-1.054963,0.000000,1.000000
-2.125000,100.000000,0.450000,-0.274631,0.000000,1.000000
-1.875000,10.000000,0.450000,-0.520865,0.000000,1.000000
-2.125000,100.000000,0.100000,-1.122334,0.000000,1.000000
-2.125000,100.000000,0.500000,-0.237469,0.000000,1.000000
-2.125000,100.000000,0.650000,-0.159765,0.000000,1.000000
-2.125000,100.000000,0.750000,-0.125593,0.000000,1.000000
-2.125000,100.000000,0.400000,-0.320403,0.000000,1.000000
-2.125000,100.000000,0.700000,-0.141396,0.000000,1.000000
-2.125000,100.000000,0.250000,-0.546948,0.000000,1.000000
-2.125000,100.000000,0.300000,-0.450999,0.000000,1.000000
-2.125000,100.000000,0.550000,-0.206857,0.000000,1.000000
-2.125000,100.000000,0.200000,-0.676355,0.000000,1.000000
-2.125000,100.000000,0.900000,-0.089330,0.000000,1.000000
-1.875000,25.000000,0.100000,-0.861036,0.000000,1.000000
-2.125000,100.000000,0.350000,-0.377734,0.000000,1.000000
-1.875000,25.000000,0.150000,-0.784680,0.000000,1.000000
-2.125000,100.000000,0.150000,-0.857262,0.000000,1.000000
-2.125000,100.000000,1.000000,-0.071566,0.000000,1.000000
-2.125000,100.000000,0.600000,-0.181316,0.000000,1.000000
-2.125000,100.000000,0.950000,-0.079953,0.000000,1.000000
-1.875000,25.000000,0.200000,-0.716111,0.000000,1.000000
-1.875000,25.000000,0.250000,-0.656014,0.000000,1.000000
-1.875000,25.000000,0.400000,-0.513199,0.000000,1.000000
-1.875000,25.000000,0.350000,-0.555500,0.000000,1.000000
-1.875000,25.000000,0.600000,-0.381808,0.000000,1.000000
-1.875000,25.000000,0.500000,-0.441255,0.000000,1.000000
-1.875000,25.000000,0.450000,-0.475216,0.000000,1.000000
-1.875000,25.000000,0.300000,-0.602822,0.000000,1.000000
-1.875000,25.000000,0.700000,-0.332655,0.000000,1.000000
-1.875000,25.000000,0.750000,-0.311115,0.000000,1.000000
-1.875000,25.000000,0.800000,-0.291294,0.000000,1.000000
-1.875000,50.000000,0.150000,-0.848621,0.000000,1.000000
-1.875000,25.000000,0.850000,-0.273004,0.000000,1.000000
-1.875000,25.000000,0.550000,-0.409970,0.000000,1.000000
-1.875000,25.000000,0.650000,-0.356135,0.000000,1.000000
-1.875000,25.000000,0.900000,-0.256080,0.000000,1.000000
-1.875000,50.000000,0.000000,-1.443297,0.000000,1.000000
-1.875000,50.000000,0.050000,-1.190718,0.000000,1.000000
-1.875000,25.000000,0.950000,-0.240377,0.000000,1.000000
-1.875000,50.000000,0.200000,-0.728682,0.000000,1.000000
-1.875000,25.000000,1.000000,-0.225768,0.000000,1.000000
-1.875000,50.000000,0.550000,-0.316676,0.000000,1.000000
-1.875000,50.000000,0.700000,-0.237753,0.000000,1.000000
