NoNoise,Noise_0.001,Noise_0.01,Noise_0.1
1.550760552758829292e+00,-1.318107224333894822e-02,-1.428963992837179245e-02,-2.849013400830728918e-02
8.373769181725225774e-01,-5.284650860480901921e-03,-1.813818472136629082e-03,3.274260468528951418e-02
5.296692816011143723e-01,1.156379816394769611e+00,3.981405735865040790e-02,6.794941588231802054e-01
-2.177264886188227666e-01,-1.971189685445349019e-02,-2.493118786269355250e-02,-1.943830653607079434e-02
1.690436423717233683e-01,1.040472193296773540e+00,4.672576166611791315e+00,6.492726691876336831e-02
1.213624114021059075e+00,-6.008585203372610734e-03,-5.969087680746107578e-03,5.821890924461733396e-01
8.636927141112484829e-01,-1.038646493125987627e-02,-2.705556423515770217e-03,-1.652554927160729357e-03
4.110369329043076503e-01,-8.404869108535880512e-03,-1.721329960730078740e-02,6.722247102027329932e-03
1.069922978047346707e+00,-5.224620081799923738e-03,-1.705675882472971680e-02,7.699798357054292719e-01
3.615930752604210596e+00,2.688646481829949586e+00,-6.782315737720424897e-02,1.699924319812262663e+00
9.088972161364352598e-01,1.321628709116656308e+00,2.455489993029267737e+00,4.346072455778023785e-02
6.015606729601244984e-01,-8.194387923702892845e-03,-1.239041397566226395e-02,-1.301720220970784339e-02
1.335794895673320548e+00,8.709807957742674578e-01,4.055996940288084218e+00,5.628531200448716465e-01
3.333177261635030808e-01,4.497335997985874911e+00,2.597243284108449179e-01,3.795957239942234773e-01
7.754281638090703144e-01,9.247122231727182839e-01,3.190123189549633587e+00,3.136729906250600663e+00
1.893887786309311760e-01,9.786799000939172544e-01,7.607177183872317894e-01,-5.263110544429509818e-02
5.243020699902108950e-01,-1.810844999148772394e-02,1.356437547682970315e-04,-4.135267627626262182e-02
1.191782179621524884e+00,1.128965374969886470e+00,3.177385469868762691e+00,6.396471535548315934e-01
9.093755059855295197e-01,-3.910156557623246758e-03,-2.625576932334299299e-02,-6.027300597572918424e-03
1.024705232683010614e+00,8.482343517813568212e+00,1.881715592509294321e+00,9.898247912839676366e-02
-3.247168847996785068e+00,-1.839152570259374592e-03,-1.382395767518410611e-02,-1.033547071638273116e-03
5.435507409039257443e-01,-1.877605016713605052e-02,-7.739786128517066148e-03,-5.125854912588706860e-03
-6.230622154205347346e-02,9.534658804554148048e+00,2.056158574491113278e+00,2.283278435540727624e+00
-9.659621567499201422e-01,-4.695553160955689628e-03,-7.537646557981383597e-03,-2.399620101563998409e-03
1.262653892389916099e-01,-2.489699634332098732e-03,-2.236629339576778983e-03,-3.478425303938906948e-02
1.866687489459630256e-01,-8.997743483017123581e-03,8.084894727224846145e-01,-3.973607448320323060e-02
-7.658691957394018202e-01,-1.537526493395882741e-03,-4.576650447072829961e-03,1.032446118200014418e-02
8.053960100883660322e-01,9.071815537426015652e-01,5.352483354364012680e-01,9.880706022864463867e-01
9.299840861000134851e-01,-2.544401263142174671e-02,-4.066732679601415060e-03,-2.025324131244682357e-02
1.565474486645676844e-01,6.752737171696605589e-01,9.768476214044600425e+00,2.140013184279833391e-01
4.573127874476914378e-01,-2.418062605347069682e-02,-1.537961836292070852e-02,-2.199778293855078615e-02
-3.541049570148593201e-02,-1.655495055056133494e-02,-3.455398116485537512e-03,-2.446940261141055707e-03
1.206586947973200541e+00,9.702362178055798925e-01,7.977481895226300246e+00,2.520715081267015378e-01
8.800598336603130400e-01,1.003525747820332992e+00,7.562935178214258425e-01,4.593155166083230379e-01
7.269915529105530627e-01,-4.238189731168069511e-03,-9.914908644216440664e-03,-9.140587115490473452e-03
6.750122629983452693e-01,-2.872655870986413201e-03,-2.620854230922746789e-02,8.072032866281950714e-01
1.074748093622656941e-01,-1.221907550630364596e-02,-9.484701518348960872e-03,8.496331216756246585e-01
3.692743523785480542e-01,1.344701894241688844e+00,5.614766230077916642e-01,2.648815925268152016e-01
4.761845848495881439e-01,1.454955883290222296e+00,2.440488140212186963e-01,2.318683700942757997e-01
8.582092631587799891e-01,-1.512501589050791254e-02,-1.984040515631624486e-03,9.347390074652410785e-01
1.947565729959171155e-01,6.394674723427236529e+00,2.646601649793259625e+00,7.198361057081981151e-02
2.068583987624664222e-01,4.476103095556401179e+00,3.394251552893861934e+00,8.299458945973306467e-02
5.514047359256328829e-01,-1.157802311911431889e-02,-2.251176628443767730e-02,5.938906294090635918e-02
8.669742272422527041e-01,1.698809222864492985e-01,4.486081828082242318e+00,2.909465542018677020e+00
4.788264855815332344e-01,3.450741477061416873e+00,1.016287379252545531e+00,3.504084531133325742e-01
1.482075824639865758e-01,6.429868075576503195e+00,3.506504357688693396e-01,3.007028497748961970e-01
5.801028801962291315e-01,2.765760532789097503e+00,4.825167278753442202e-01,1.211540207104327971e-01
4.880862660370978157e-01,-1.006075897761402570e-02,-2.425856109349472725e-02,6.874906433807798090e-02
2.413457347251496132e-01,4.885598152142056172e+00,3.396327685848476108e+00,6.516671940656811046e-02
6.227628047477994366e-01,2.785783589035177241e-02,4.824773308628873991e+00,9.814904805079910366e-02
5.911132561931655705e-01,-1.065433477261041283e-02,-1.675662015038140162e-02,-3.433629624578138449e-03
5.597492506339631912e-01,-2.637470822352753694e-02,-9.130855027203951119e-03,-2.535313394623307445e-02
7.794677424375682229e-01,7.832383807648940488e-01,6.616359949626942072e-01,2.907759685259062726e-02
-5.829663020811177709e-01,-1.315531088061745388e-02,3.172296444905845251e-04,1.675564412708761136e-02
1.474019509830297170e-01,1.734010031813678410e+00,3.122610642751799670e+00,8.696657990736031962e-01
3.698948558805758013e-01,-3.664390889300703398e-03,-6.923408230061557297e-03,-4.591051313522839794e-02
4.688870894323244332e-01,-1.834255930845899579e-02,-1.281885706275748618e-02,-2.626540039901624143e-02
